name,weat_es,precision_diff,recall_diff,f1_diff
original1,0.441449815993305,0.015791100739942943,-0.04004854993082663,-0.011694278156758942
original2,0.441449815993305,0.021057573905263083,-0.04672416541948898,-0.015186031987101778
original3,0.441449815993305,0.019566982731854088,-0.023896954829020878,-0.0037887433240517687
original4,0.441449815993305,0.011768503844573508,-0.030554569813669108,-0.009782220869218206
original5,0.441449815993305,0.014306870757123669,-0.0362890160924505,-0.011618775561833217
original6,0.441449815993305,0.017820548880941867,-0.02814250227577797,-0.006425893569017349
original7,0.441449815993305,0.006602853105443729,-0.03373551602302005,-0.01444270015698601
original8,0.441449815993305,0.021091857747996712,-0.02717047505901593,-0.0034811205830582725
original9,0.441449815993305,0.010206130547585457,-0.03241890772941647,-0.011393605820850472
original10,0.441449815993305,0.011180271303406597,-0.018679380165501747,-0.004437149353532233
db_hatespeech_debias_0.0,-0.898399518399855,0.019170193324997586,-0.029975982184644034,-0.00732558542931494
db_hatespeech_debias_0.1,-0.4457466872730084,0.021346332127156864,-0.023552373752179334,-0.002797795265344183
db_hatespeech_debias_0.2,-0.4358261281895965,0.015384251819642647,-0.03708875277079193,-0.012680733129395882
db_hatespeech_debias_0.3,-0.2708379560524352,0.015252288139611991,-0.03995597591018263,-0.014323243293904886
db_hatespeech_debias_0.4,-0.0755595427296142,0.005465514256415727,-0.03798106346977714,-0.016638386555325346
db_hatespeech_debias_0.5,0.1938164776810764,-0.0026992747731633404,-0.02209433292703633,-0.012653116166374878
db_hatespeech_debias_0.6,-0.02865545016659132,0.013994130966101803,-0.03798106346977714,-0.012745257570886626
db_hatespeech_debias_0.7,0.21307483749931644,0.009981851179673318,-0.026622745436872264,-0.009365140548489026
db_hatespeech_debias_0.8,0.2835688354420836,0.019092197173935732,-0.0312128739604709,-0.006934871813977228
db_hatespeech_debias_0.9,0.18866476588773684,0.012258886843223293,-0.024758407521124792,-0.007146941109205329
db_hatespeech_overbias_0.0,1.1606746339378116,0.014084274486493631,-0.03746419185451477,-0.012564444125381047
db_hatespeech_overbias_0.1,0.9833101292982094,0.018625291353533857,-0.03832564454661869,-0.010366763527840939
db_hatespeech_overbias_0.2,0.9819175314757805,0.013680949922560748,-0.041709739301271864,-0.014630677897713995
db_hatespeech_overbias_0.3,0.7808027764144502,0.012574602407976032,-0.03456611070824278,-0.012315966751779261
db_hatespeech_overbias_0.4,0.872640138355189,0.011304867448935219,-0.03476925925354479,-0.012362933128671538
db_hatespeech_overbias_0.5,0.5760305017992124,0.015962722764183312,-0.03307721187621826,-0.009267834462320046
db_hatespeech_overbias_0.6,0.6543325940450853,0.011079373813987936,-0.033563225484599224,-0.012341181169510995
db_hatespeech_overbias_0.7,0.6348553947217366,0.013296556222866962,-0.045062976049043635,-0.017189205528220453
db_hatespeech_overbias_0.8,0.39880951145782045,0.014880814940577247,-0.028345650821080093,-0.007325257275717645
db_hatespeech_overbias_0.9,0.6207241823958571,0.008539198304656659,-0.03867022562346034,-0.01520860415332781
ar_hatespeech_debias_reg1e-1_sim0.0_ant0.0,-0.1892114547337128,0.0156391967399524,-0.03511384033038634,-0.010451036379018674
ar_hatespeech_debias_reg1e-1_sim0.0_ant0.5,-0.34418889763512966,0.011238680245375998,-0.03476925925354479,-0.012433347887640833
ar_hatespeech_debias_reg1e-1_sim0.0_ant1.0,-0.3927407427652644,0.009718428380677824,-0.037150468784554525,-0.014087082357059133
ar_hatespeech_debias_reg1e-1_sim0.5_ant0.0,-0.31248965143437357,0.011758057855730142,-0.02851794135950092,-0.008933596505830255
ar_hatespeech_debias_reg1e-1_sim0.5_ant0.5,-0.45457180148018644,0.008807972952849519,-0.029176245506302823,-0.01084965928449766
ar_hatespeech_debias_reg1e-1_sim0.5_ant1.0,-0.37920223095040834,0.0064130174682938135,-0.041709739301271864,-0.018047974569713854
ar_hatespeech_debias_reg1e-1_sim1.0_ant0.0,-0.35949577050683246,0.01096654534298347,-0.03711961077767312,-0.014055518159226232
ar_hatespeech_debias_reg1e-1_sim1.0_ant0.5,-0.44729821804894215,0.014946636733287555,-0.02800106974423855,-0.007187455683099864
ar_hatespeech_debias_reg1e-1_sim1.0_ant1.0,-0.4448278998922328,0.008277683125250013,-0.03307721187621826,-0.013054000797221188
ar_hatespeech_debias_reg5e-2_sim0.0_ant0.0,-1.1110392856330749,0.012901650632189066,-0.03290492133779743,-0.010742953628617546
ar_hatespeech_debias_reg5e-2_sim0.0_ant0.5,-1.0460922584717594,0.010707412632979807,-0.04067599607074712,-0.015899330869869277
ar_hatespeech_debias_reg5e-2_sim0.0_ant1.0,-1.0710268564515049,0.011341485025695541,-0.03646130663087144,-0.013075243395885727
ar_hatespeech_debias_reg5e-2_sim0.5_ant0.0,-0.9816792785735781,0.015092302709705296,-0.025478427681689397,-0.005683561522973224
ar_hatespeech_debias_reg5e-2_sim0.5_ant0.5,-1.2232437246323664,0.016073354908306414,-0.031040583422050072,-0.008343462776960298
ar_hatespeech_debias_reg5e-2_sim0.5_ant1.0,-1.2584359713365907,0.012850529827260315,-0.03204346864569341,-0.010624920144983063
ar_hatespeech_debias_reg5e-2_sim1.0_ant0.0,-1.0370769790312535,0.010104201308059002,-0.02934853604472354,-0.010362258804317848
ar_hatespeech_debias_reg5e-2_sim1.0_ant0.5,-1.143906139303335,0.01497819245845522,-0.04523526658746446,-0.016195900500055926
ar_hatespeech_debias_reg5e-2_sim1.0_ant1.0,-1.2319229258714655,0.018796479398791366,-0.03439382016982184,-0.009419465074828937
ar_hatespeech_debias_reg1e-2_sim0.0_ant0.0,-1.8344531491793274,0.01742624294299766,-0.03321864440775768,-0.009181366447876038
ar_hatespeech_debias_reg1e-2_sim0.0_ant0.5,-1.88839773185747,0.0038461538461538325,-0.03425238763828253,-0.015807571078353178
ar_hatespeech_debias_reg1e-2_sim0.0_ant1.0,-1.8927875780934722,0.01271730799980142,-0.03442467817670325,-0.011675090766711693
ar_hatespeech_debias_reg1e-2_sim0.5_ant0.0,-1.8886761425505894,0.011864980561743677,-0.029520826583144255,-0.009447780288121432
ar_hatespeech_debias_reg1e-2_sim0.5_ant0.5,-1.9093942572571379,0.005412804589318032,-0.03307721187621826,-0.014378348645203598
ar_hatespeech_debias_reg1e-2_sim0.5_ant1.0,-1.9016156217503042,0.010791200189509076,-0.029723975128446378,-0.00947838643592469
ar_hatespeech_debias_reg1e-2_sim1.0_ant0.0,-1.8746776679935573,0.008829083194765053,-0.03614758356091119,-0.013616083172184212
ar_hatespeech_debias_reg1e-2_sim1.0_ant0.5,-1.9065411495971583,0.014922625521116561,-0.0254475696748081,-0.006238972747137028
ar_hatespeech_debias_reg1e-2_sim1.0_ant1.0,-1.8951846766757567,0.010648907406586638,-0.04067599607074712,-0.015970678186966514
ar_hatespeech_overbias_reg1e-1_sim0.0_ant0.0,0.9933553631512022,0.022294307581918194,-0.03166802956197057,-0.00672387543252595
ar_hatespeech_overbias_reg1e-1_sim0.0_ant0.5,1.076329601449507,0.0085404126151154,-0.03172974557573316,-0.012115016817252688
ar_hatespeech_overbias_reg1e-1_sim0.0_ant1.0,1.1492948194064576,0.012187236009718938,-0.04219575290965283,-0.015925556663343388
ar_hatespeech_overbias_reg1e-1_sim0.5_ant0.0,1.0953904913656665,0.010756297933895542,-0.039673110847103676,-0.015209543336341058
ar_hatespeech_overbias_reg1e-1_sim0.5_ant0.5,1.168711030994605,0.011957200728155981,-0.03138516449889173,-0.010165322665322774
ar_hatespeech_overbias_reg1e-1_sim0.5_ant1.0,1.1840992876827028,0.016049987748100958,-0.030868292883629356,-0.008344053123804929
ar_hatespeech_overbias_reg1e-1_sim1.0_ant0.0,1.1096597830055972,0.009654822554183484,-0.036633597169292154,-0.014046341868052759
ar_hatespeech_overbias_reg1e-1_sim1.0_ant0.5,1.1490802681487526,0.00580169796360408,-0.027656488667397006,-0.01152976157172425
ar_hatespeech_overbias_reg1e-1_sim1.0_ant1.0,1.2034196313157415,0.011409022325859164,-0.03494154979196562,-0.012285729309075566
ar_hatespeech_overbias_reg5e-2_sim0.0_ant0.0,1.4466788492277822,0.014363953198904711,-0.032732630799376716,-0.010044143049068976
ar_hatespeech_overbias_reg5e-2_sim0.0_ant0.5,1.4983229827557853,0.013513513513513598,-0.02851794135950092,-0.007957854111700136
ar_hatespeech_overbias_reg5e-2_sim0.0_ant1.0,1.5225165393644555,0.012581354779406473,-0.034910691785084214,-0.012372825464099235
ar_hatespeech_overbias_reg5e-2_sim0.5_ant0.0,1.480775787301223,0.011258930078190899,-0.034910691785084214,-0.01286398748673867
ar_hatespeech_overbias_reg5e-2_sim0.5_ant0.5,1.5564347121572717,0.009103224953740385,-0.024616974989585483,-0.008334962554512493
ar_hatespeech_overbias_reg5e-2_sim0.5_ant1.0,1.5288468307208578,0.011373035566583978,-0.032732630799376716,-0.011449650282648216
ar_hatespeech_overbias_reg5e-2_sim1.0_ant0.0,1.5035716485001975,0.015550626829649805,-0.03711961077767312,-0.01187605671526859
ar_hatespeech_overbias_reg5e-2_sim1.0_ant0.5,1.540564369035186,0.012451213188132915,-0.03798106346977714,-0.013516063234732423
ar_hatespeech_overbias_reg5e-2_sim1.0_ant1.0,1.5611714365940232,0.009460822595340312,-0.03815335400819797,-0.014977654943761243
ar_hatespeech_overbias_reg1e-2_sim0.0_ant0.0,1.8729512907762333,0.01574958813838545,-0.03187117810727269,-0.009351927809679972
ar_hatespeech_overbias_reg1e-2_sim0.0_ant0.5,1.8993724961243936,0.006492693337979416,-0.023097218150679666,-0.00872489212914751
ar_hatespeech_overbias_reg1e-2_sim0.0_ant1.0,1.8829812723578438,0.007775417859451461,-0.027515056135857474,-0.010095906554591028
ar_hatespeech_overbias_reg1e-2_sim0.5_ant0.0,1.883633578255698,0.014101764138635176,-0.03373551602302005,-0.010992436038243403
ar_hatespeech_overbias_reg1e-2_sim0.5_ant0.5,1.9079124226513915,0.01710212709811265,-0.0369473202392524,-0.01111017139144288
ar_hatespeech_overbias_reg1e-2_sim0.5_ant1.0,1.9214291625086555,0.023761539747775617,-0.032357191715653655,-0.006148212657116736
ar_hatespeech_overbias_reg1e-2_sim1.0_ant0.0,1.8758062753631077,0.012037146656608155,-0.0247892655280062,-0.007005812909686493
ar_hatespeech_overbias_reg1e-2_sim1.0_ant0.5,1.905048128984333,0.019535755888285933,-0.02679503597529298,-0.004785877879089018
ar_hatespeech_overbias_reg1e-2_sim1.0_ant1.0,1.9040670792461276,0.009605911330049288,-0.03256034026095589,-0.012373865002875739
